text,label
蓝口公社解放初期才1.6万人，现在是3.82多万人，三十一年时间，增加了2.2万多人，如果继续按这个速度增长，二十年之后，全社要增加到8.8万至9万人。,3
我想，我们公社每人平均才九分耕地，如果都搞大株行距，势必影响粮食作物面积，果树生产，也应该按照农业“八字宪法”办事，实行合理密植。,3
我才叫一声：“大姐——”，就再也说不出话来，我的眼泪不住地转，要涌出来。,3
后来听说农村有废棉，才二百多元一吨，还有的是。,3
去年，他在一次执行巡逻任务中，为了排除越军埋入我境的地雷，英勇牺牲，当时才22岁。,3
东单区一个商店，去年12月上、中两旬共销售一百五十三台打字机，这个月到现在才卖了三台。,3
一切的一切，就像昨天才发生一样。,3
明新那时才十岁，刚能摸到水车的把手，也上了阵。,3
1979年农民人均收入才231元。,3
有的同志说：农场周围的生产队，地势高，土质好，生产经验、肥料和技术条件都比我们好，一般的才亩产三百来斤，我们在这里还有什么搞头。,3
伊拉克战争才不过20来天，此前却渲染了近一年。,3
这条公路全长才15华里，但它是这里的农民为了迎接社会主义的好日子而自动修起来的。,3
我当时入党才一年多。,3
欢迎人群中，年龄最大的有90多岁，是来自江苏徐州的徐老先生；最小的才3岁，跟着母亲，小手中拿着国旗；欢迎人群中还有老外，大家打着标语，舞龙舞狮，敲锣打鼓，热闹非凡。,3
徐广福才五岁的大女儿天真地挥动小手欢迎贵宾。,3
而在2011年加拿大大选中，具有中国大陆背景的才3人。,3
大家知道，南越伪军总共才五十多万人，这支缺乏兵源补充的傀儡军，能够经得起多少次类似的打击？,3
内塔尼亚胡强调，只有在巴自治政府履行打击恐怖活动的义务后，以色列才会进一步向巴方移交约旦河西岸土地。,3
三分种，七分管，你一家才五口人，老的老，小的小，这么大面积你抚育管理得了吗？,3
现在，北斗三号的原子钟已提升到每300万年才出现1秒误差的精度。,3
参赛者最大年龄74岁，最小的才14岁。,3
十二名孩子，最大的十五岁，最小的才七岁，要吃，要穿，要上学，要办各种手续；有病的要治病，甚至半夜送医院；不良习惯，要慢慢改。,3
却因为患有先心病被父母遗弃在医院里，到“宝贝之家”时才刚刚7天，后来又被查出患有肝损害，需要长期服药治疗。,3
看人家晓菲，才四五岁，抱着本大厚书，一坐就是半天。,3
她想，我和伟大祖国同年诞生同时成长，今年才二十一岁，在文化大革命中，又是红卫兵小将，一直是积极捍卫毛主席革命路线的。,3
只有千方百计增加农民收入，开拓农村市场，才会进一步拉动整个经济增长。,3
高雄一家总医院给病人输氧气，每小时索价新台币六十元，一天就要一千四百多元，而氧气的市价每桶才一百元。,3
只有经过自己刻苦钻研出来的，才一辈子也忘不了。,3
待有十几二十条了，才一串儿提上岸。,3
里约奥运会才到第七个比赛日，中国“三大球”的告别却提前进入倒计时。,3
该县一年的财政收入才三千余万元。,3
同是社会主义国家，国力相差悬殊，苏联东欧等一些社会主义国家，人均国民生产总值都在2000美元以上，他们能实行全免费教育，我们这个人均收入才300多美元的穷国就很难办到。,3
她毅然参加了革命队伍，这时她才二十岁。,3
当时部队迅速南进，没有来得及把这件事情的底细告诉朝鲜人民，直到去年春天，志愿军某部战士们到墓前进行隆重的祭奠时，当地人民才从一位战士李治黄的口中知道了这位不朽的朝鲜母亲生前的动人事迹。,3
在七月一日至六日的六天当中，我想尽办法才做了三个劳动日；其余时间干了些什么呢？,3
软班长”变“硬手”这个公社堡大队的党支部书记叫王悦，才二十六岁。,3
抓人者怕她死在监狱，才在5年半之后的1973年7月，把昏迷的她伴着氧气瓶押送回长沙。,3
然而，贬官潮州，上任才一个月，便写开了荒诞不经的《祭鳄鱼文》。,3
这个地主一年收二三百石粮，分到七个长工名下的才只有三二十石。,3
我才又一次受到严重的教训。,3
日本兵走远了，我们才出了一口气。,3
那时，耿凯才5岁，弟弟3岁，妹妹刚满月。,3
到1980年底，全社海水养殖面积才10，820亩，鱼虾蟹贝产量仅1，224担。,3
美国警察曾破获一个儿童贩毒机关，吸毒犯全部是男女儿童，最大的才不过十七岁。,3
才几年的功夫，青山里就变了样，生活就变了样，人也变了样啊！,3
这个大队有三对老夫妻，他们分别有八九个儿女，大的已经成家了，小的才十来岁，结果是自己到五六十岁了，还没“解放”出来，吃的不如人家，穿的不如人家。,3
一九六五年冬天，哈米拉的母亲和兄、嫂都病了，能出门的只有当时才十三岁的哈米拉。,3
才八点刚过，是谁来的电话呢？,3
东莱阳市人民广播电台　贺忠采取有效措施　打击剪径行为采取有效措施　打击剪径行为十月二十七日上午，我们乘坐南昌至武汉的班车，路过江西永修县境内的迎客饭店时才十点钟，司机就停车要乘客吃午饭。,3
一个母亲沉痛地说：“我在一九四七年生第一个小孩，才四十天，小孩因有病常哭，一个深夜里哭得特别厉害，邻人都厌烦了。,3
今年才二十一岁的余传恩在旁边讲：他们已经将五把不同规格的小方椅送到广州中国商品出口展览会展出，同时跟对外贸易部门订了合同，制作了八十多把小方椅。,3
你才到厂几天，应该虚心向人家学习！,3
如某村党支部书记欧某，到1995年任职才4年，可他一次性购买了11年的养老保险。,3
你们看到维尼纶才几天？,3
说是下午3时到场，才2时40分，4位同志已踏进门。,3
有的地方买一个新禾桶才十二三元，但修理一个旧的就要七八元，这样，群众就不大愿意修理了。,3
学在前　干在前学在前　干在前云南省地质局第二水文队团委副书记陈国栋，今年才24岁，可他担任团委专职干部已经五年了。,3
当在村办企业上班的群众月工资达到200多元时，他这位当支书的月工资还在60元以下，直到1988年年底，在党员、群众的联名提议下，他的月工资才升到90元。,3
问她生意如何，这位笑口常开的妇女解嘲地说：“今天才卖了一件毛衣，连机票钱还未挣出来呢。,3
胡大才一直镇静地站在礁石上。,3
张丽丽利用业余时间，跑了10多家商店，才买到28包酒曲。,3
我说您是大姐，他才九十九。,3
